Expediente,"Número resolución","Fecha Publicación","Alcance Gaceta",Gaceta,Producto,"Tipo de Cambio","Precio Referencia Internacional","Precio Referencia Internacional en colones","Costo adquisión dólar por barril","Costo adquisión en colones por litro","Otros Ingresos Prorrateados","Asignación Subsidio Pescadores","Asignación subsidio Política Sectorial","Asignación subsidio Políticas del Gobierno","Subsidio Pescadores","Subsidio Política Sectorial","Subsidio cruzado políticas de gobierno","Diferencial de precios","Liquidación extraordinaria","Impuesto Único",Canon,"Margen de operación de Recope","Rendimiento sobre Base Tarifaria","Liquidación Ordinaria","Precio en terminal sin impuesto","Ley 9840","Precio en terminal con impuesto","Margen comercializador","Precio final sin punto fijo Peddlers","Margen Estaciones Terrestres","Margen Estaciones Aéreas","Flete estaciones de servicio","Margen Envasador","Precio estaciones de servicio sin IVA","IVA de Transportista","Precio final en estaciones de servicio","Margen Distribuidor y Agencias","Margen Detallista","Precio gas por litro en detallistas","Precio Terminal sin impuesto ni subsidio Sectorial",Rige,"Límite Inferior Banda","Límite Superior Banda","Densidad de referencia expresado en kgs","Precio en terminal con impuesto masa","Precio final sin punto fijo masa Peddlers","Margen de comercializador masa","ID SIET",Observaciones
ET-101-2023,RE-0157-IE-2023,15-12-2023,252,233,"Jet fuel A-1",536.13091,0,0,125.24709,422.35425,0,0.12601,0,0,0,0,0,24.47389,-0.05884,156.25,0.36768,54.12986,14.07,0,515.46285,0,671.71285,0,,0,17.27,0,0,688.98285,0,689,0,0,0,515.46285,True,555.28,788.15,0,0,0,0,,
ET-101-2023,RE-0157-IE-2023,15-12-2023,252,233,"Nafta pesada",536.13091,0,0,104.88721,353.69732,0,0,0,0,0,0,0,0,0,38,0.36768,17.69986,10.5,0,382.26486,0,420.26486,3.75,424.01486,0,0,0,0,,0,,0,0,0,382.26486,True,0,0,0,0,0,0,,
ET-078-2023,RE-0158-IE-2023,15-12-2023,252,233,"Gasolina RON 95",536.13091,0,0,101.66403,342.8282,0,0.12601,11.6001,0,0,0,0,3.45275,2.10509,272.75,0.36768,26.72986,10.97,0,398.17969,0,670.92969,3.75,674.67969,56.68,0,12.77,0,740.37969,1.66,742,0,0,0,386.57959,False,0,0,0,0,0,0,,
ET-078-2023,RE-0158-IE-2023,15-12-2023,252,233,"Gasolina RON 91",536.13091,0,0,108.1104,364.56644,0,0.12601,11.6001,0,0,0,0,5.84907,1.68285,260.75,0.36768,26.50986,11.17,0,421.87201,0,682.62201,3.75,686.37201,56.68,0,12.77,0,752.07201,1.66,754,0,0,0,410.27191,False,0,0,0,0,0,0,,
ET-078-2023,RE-0158-IE-2023,15-12-2023,252,233,"Gasolina RON 91 (pescadores)",536.13091,0,0,108.1104,364.56644,0,0,0,0,-17.3488,0,0,0,0,0,0,26.50986,0,0,373.7275,0,373.7275,0,,0,0,0,0,,0,,0,0,0,373.7275,False,0,0,0,0,0,0,,
ET-078-2023,RE-0158-IE-2023,15-12-2023,252,233,"Diésel para uso automotriz de 50 ppm de azufre",536.13091,0,0,123.73317,417.24906,0,0.12601,11.6001,0,0,0,0,-3.99093,1.66338,154.25,0.36768,26.77986,11.64,0,465.43514,0,619.68514,3.75,623.43514,56.68,0,12.77,0,689.13514,1.66,691,0,0,0,453.83505,False,0,0,0,0,0,0,,
ET-078-2023,RE-0158-IE-2023,15-12-2023,252,233,"Diésel uso automotriz 50 ppm azufre (pescadores)",536.13091,0,0,123.73317,417.24906,0,0,0,0,-17.39986,0,0,0,0,0,0,26.77986,0,0,426.62906,0,426.62906,0,,0,0,0,0,,0,,0,0,0,426.62906,False,0,0,0,0,0,0,,
ET-078-2023,RE-0158-IE-2023,15-12-2023,252,233,"Diésel marino",536.13091,0,0,254.84697,859.38687,0,0,0,0,0,0,0,0,0,154.25,0.36768,26.77986,11.64,0,898.17441,0,1052.42441,0,,0,0,0,0,,0,,0,0,0,898.17441,False,0,0,0,0,0,0,,
ET-078-2023,RE-0158-IE-2023,15-12-2023,252,233,Keroseno,536.13091,0,0,125.24709,422.35425,0,0.12601,11.6001,0,0,0,0,0,1.26098,74.25,0.36768,25.10986,10.27,0,471.08887,0,545.33887,3.75,549.08887,56.68,0,12.77,0,614.78887,1.66,616,0,0,0,459.48878,False,0,0,0,0,0,0,,
ET-078-2023,RE-0158-IE-2023,15-12-2023,252,233,Bunker,536.13091,0,0,81.90362,276.19279,0,0.12601,0,0,0,-55.60082,0,14.26596,-1.30502,25,0.36768,50.12986,13.45,0,297.62646,0,322.62646,3.75,326.37646,0,0,0,0,,0,,0,0,0,353.22728,False,0,0,993.7,324.67,3.77377,328.45,,
ET-078-2023,RE-0158-IE-2023,15-12-2023,252,233,"Bunker Térmico ICE",536.13091,0,0,95.85377,323.23505,0,0,0,0,0,19.10939,0,0,0,25,0.36768,14.89986,3.19,0,360.80199,0,385.80199,0,,0,0,0,0,,0,,0,0,0,341.69259,False,0,0,929.22,415.19,0,0,,
ET-078-2023,RE-0158-IE-2023,15-12-2023,252,233,"Bunker Térmico ICE 2",536.13091,0,0,92.40029,311.58932,0,0.12601,0,0,0,-39.08265,0,6.14212,0.45579,25,0.36768,14.89986,3.19,0,297.68813,0,322.68813,0,,0,0,0,0,,0,,0,0,0,336.77077,False,0,0,965.42,334.25621,0,0,,
ET-078-2023,RE-0158-IE-2023,15-12-2023,252,233,"IFO 380",536.13091,0,0,154.23373,520.10207,0,0,0,0,0,0,0,0,0,0,0.36768,42.08986,12.72,0,575.27961,0,575.27961,0,,0,0,0,0,,0,,0,0,0,575.27961,False,507.09,643.47,0,0,0,0,,
ET-078-2023,RE-0158-IE-2023,15-12-2023,252,233,Asfalto,536.13091,0,0,84.10924,283.63052,0,0.12601,0,0,0,0,0,14.8058,0.20102,53,0.36768,58.85986,16.2,0,374.19088,0,427.19088,3.75,430.94088,0,0,0,0,,0,,0,0,0,374.19088,False,0,0,1029.25,415.05065,3.64343,418.69408,,
ET-078-2023,RE-0158-IE-2023,15-12-2023,252,233,"Asfalto AC-10",536.13091,0,0,83.86662,282.81237,0,0,0,0,0,0,0,0,0,53,0.36768,59.06707,16.2,0,358.44712,0,411.44712,3.75,415.19712,0,0,0,0,,0,,0,0,0,358.44712,False,0,0,1025.3395,401.27891,3.65733,404.93623,,
ET-078-2023,RE-0158-IE-2023,15-12-2023,252,233,"Diésel pesado o gasóleo",536.13091,0,0,99.99072,337.18552,0,0.12601,11.6001,0,0,0,0,0,1.34726,51.25,0.36768,22.87986,6.07,0,379.57642,0,430.82642,3.75,434.57642,0,0,0,0,,0,,0,0,0,367.97632,False,0,0,0,0,0,0,,
ET-078-2023,RE-0158-IE-2023,15-12-2023,252,233,"Emulsión asfáltica rápida (RR)",536.13091,0,0,54.4703,183.683,0,0.12601,0,0,0,0,0,0,0.12992,40.25,0.36768,27.00986,13.78,0,225.09647,0,265.34647,3.75,269.09647,0,0,0,0,,0,,0,0,0,225.09647,False,0,0,1004.75,264.09203,3.73227,267.82431,,
ET-078-2023,RE-0158-IE-2023,15-12-2023,252,233,"Emulsión asfáltica lenta (RL)",536.13091,0,0,54.67101,184.35984,0,0.12601,0,0,0,0,0,0,-0.20055,40.25,0.36768,16.55986,13.78,0,214.99283,0,255.24283,3.75,258.99283,0,0,0,0,,0,,0,0,0,214.99283,False,0,0,1011.25,252.40329,3.70828,256.11157,,
ET-078-2023,RE-0158-IE-2023,15-12-2023,252,233,"LPG (70-30)",536.13091,0,0,35.72563,120.47283,0,0.12601,0,0,0,-42.29818,0,-7.22621,0.3682,24,0.36768,21.95986,10.56,0,104.33018,0,128.33018,0,,56.68,0,0,59.86,244.87018,0,245,62.229,71.558,0,146.62837,True,0,0,528.61,242.77,0,0,,
ET-078-2023,RE-0158-IE-2023,15-12-2023,252,233,"LPG (rico en propano)",536.13091,0,0,74.27748,250.47616,0,0,0,0,0,-33.62128,0,0,0,24,0.36768,22.08986,10.56,0,249.87242,0,273.87242,0,,56.68,0,0,59.86,390.41242,0,390,62.229,71.558,0,283.4937,True,0,0,507.5,539.65009,0,0,,
ET-078-2023,RE-0158-IE-2023,15-12-2023,252,233,Av-Gas,536.13091,0,0,174.62466,588.86374,0,0.12601,11.6001,0,0,0,0,-116.84664,-0.50495,260.75,0.36768,52.34986,30.22,0,566.1758,0,826.9258,0,,0,17.27,0,0,844.1958,0,844,0,0,0,554.5757,False,723.11,930.74,0,0,0,0,,
ET-078-2023,RE-0158-IE-2023,15-12-2023,252,233,"Jet fuel A-1",536.13091,0,0,125.24709,422.35425,0,0.12601,0,0,0,0,0,24.47389,-0.05884,156.25,0.36768,54.12986,14.07,0,515.46285,0,671.71285,0,,0,17.27,0,0,688.98285,0,689,0,0,0,515.46285,False,555.28,788.15,0,0,0,0,,
ET-078-2023,RE-0158-IE-2023,15-12-2023,252,233,"Nafta pesada",536.13091,0,0,104.88721,353.69732,0,0,0,0,0,0,0,0,0,38,0.36768,17.69986,10.5,0,382.26486,0,420.26486,3.75,424.01486,0,0,0,0,,0,,0,0,0,382.26486,False,0,0,0,0,0,0,,
ET-101-2023,RE-0154-IE-2023,06-12-2023,240,226,"Gasolina RON 95",536.13091,0,0,101.66403,342.8282,0,0.12601,11.49416,0,0,0,0,3.45275,2.10509,272.75,0.36768,26.72986,10.97,0,398.07375,0,670.82375,3.75,674.57375,56.68,0,12.77,0,740.27375,1.66,742,0,0,,386.57959,True,0,0,0,0,0,0,,
ET-101-2023,RE-0154-IE-2023,06-12-2023,240,226,Av-Gas,536.13091,0,0,174.62466,588.86374,0,0.12601,11.49416,0,0,0,0,-116.84664,-0.50495,260.75,0.36768,52.34986,30.22,0,566.06986,0,826.81986,0,,0,17.27,0,0,844.08986,0,844,0,0,,554.5757,True,723.01,930.63,0,0,0,0,,
ET-101-2023,RE-0154-IE-2023,06-12-2023,240,226,"LPG (rico en propano)",536.13091,0,0,74.27748,250.47616,0,0,0,0,0,-33.62128,0,0,0,24,0.36768,22.08986,10.56,0,249.87242,0,273.87242,0,,56.68,0,0,49.605,380.15742,0,380,62.229,71.558,0,283.4937,True,0,0,507.5,539.65009,0,0,,
ET-101-2023,RE-0154-IE-2023,06-12-2023,240,226,"LPG (70-30)",536.13091,0,0,35.72563,120.47283,0,0.12601,0,0,0,-42.24732,0,-7.22621,0.3682,24,0.36768,21.95986,10.56,0,104.38105,0,128.38105,0,,56.68,0,0,49.605,234.66605,0,235,62.229,71.558,0,146.62837,True,0,0,528.61,243.46,0,0,,
ET-101-2023,RE-0154-IE-2023,06-12-2023,240,226,"Emulsión asfáltica lenta (RL)",536.13091,0,0,54.67101,184.35984,0,0.12601,0,0,0,0,0,0,-0.20055,40.25,0.36768,16.55986,13.78,0,214.99283,0,255.24283,3.75,258.99283,0,0,0,0,,0,,0,0,,214.99283,True,0,0,1011.25,252.40329,3.70828,256.11157,,
ET-101-2023,RE-0154-IE-2023,06-12-2023,240,226,"Emulsión asfáltica rápida (RR)",536.13091,0,0,54.4703,183.683,0,0.12601,0,0,0,0,0,0,0.12992,40.25,0.36768,27.00986,13.78,0,225.09647,0,265.34647,3.75,269.09647,0,0,0,0,,0,,0,0,,225.09647,True,0,0,1004.75,264.09203,3.73227,267.82431,,
ET-101-2023,RE-0154-IE-2023,06-12-2023,240,226,"Diésel pesado o gasóleo",536.13091,0,0,99.99072,337.18552,0,0.12601,11.49416,0,0,0,0,0,1.34726,51.25,0.36768,22.87986,6.07,0,379.47048,0,430.72048,3.75,434.47048,0,0,0,0,,0,,0,0,,367.97632,True,0,0,0,0,0,0,,
ET-101-2023,RE-0154-IE-2023,06-12-2023,240,226,"Asfalto AC-10",536.13091,0,0,83.86662,282.81237,0,0,0,0,0,0,0,0,0,53,0.36768,59.06707,16.2,0,358.44712,0,411.44712,3.75,415.19712,0,0,0,0,,0,,0,0,,358.44712,True,0,0,1025.3395,401.27891,3.65733,404.93623,,
ET-101-2023,RE-0154-IE-2023,06-12-2023,240,226,Asfalto,536.13091,0,0,84.10924,283.63052,0,0.12601,0,0,0,0,0,14.8058,0.20102,53,0.36768,58.85986,16.2,0,374.19088,0,427.19088,3.75,430.94088,0,0,0,0,,0,,0,0,,374.19088,True,0,0,1029.25,415.05065,3.64343,418.69408,,
ET-101-2023,RE-0154-IE-2023,06-12-2023,240,226,"Jet fuel A-1",536.13091,0,0,125.24709,422.35425,0,0.12601,0,0,0,0,0,24.47389,-0.05884,156.25,0.36768,54.12986,14.07,0,515.46285,0,671.71285,0,,0,17.27,0,0,688.98285,0,689,0,0,,515.46285,True,555.28,788.15,0,0,0,0,,
ET-101-2023,RE-0154-IE-2023,06-12-2023,240,226,"IFO 380",536.13091,0,0,154.23373,520.10207,0,0,0,0,0,0,0,0,0,0,0.36768,42.08986,12.72,0,575.27961,0,575.27961,0,,0,0,0,0,,0,,0,0,,575.27961,True,507.09,643.47,0,0,0,0,,
ET-101-2023,RE-0154-IE-2023,06-12-2023,240,226,"Bunker Térmico ICE",536.13091,0,0,95.85377,323.23505,0,0,0,0,0,21.04236,0,0,0,25,0.36768,14.89986,3.19,0,362.73495,0,387.73495,0,,0,0,0,0,,0,,0,0,,341.69259,True,0,0,929.22,417.26927,0,0,,
ET-101-2023,RE-0154-IE-2023,06-12-2023,240,226,Bunker,536.13091,0,0,81.90362,276.19279,0,0.12601,0,0,0,-52.73745,0,14.26596,-1.30502,25,0.36768,50.12986,13.45,0,300.48982,0,325.48982,3.75,329.23982,0,0,0,0,,0,,0,0,,353.22728,True,0,0,993.7,327.55341,3.77377,331.32718,,
ET-101-2023,RE-0154-IE-2023,06-12-2023,240,226,Keroseno,536.13091,0,0,125.24709,422.35425,0,0.12601,11.49416,0,0,0,0,0,1.26098,74.25,0.36768,25.10986,10.27,0,470.98293,0,545.23293,3.75,548.98293,56.68,0,12.77,0,614.68293,1.66,616,0,0,,459.48878,True,0,0,0,0,0,0,,
ET-101-2023,RE-0154-IE-2023,06-12-2023,240,226,"Diésel marino",536.13091,0,0,254.84697,859.38687,0,0,0,0,0,0,0,0,0,154.25,0.36768,26.77986,11.64,0,898.17441,0,1052.42441,0,,0,0,0,0,,0,,0,0,,898.17441,True,0,0,0,0,0,0,,
ET-101-2023,RE-0154-IE-2023,06-12-2023,240,226,"Diésel uso automotriz 50 ppm azufre (pescadores)",536.13091,0,0,123.73317,417.24906,0,0,0,0,-17.39986,0,0,0,0,0,0,26.77986,0,0,426.62906,0,426.62906,0,,0,0,0,0,,0,,0,0,,426.62906,True,0,0,0,0,0,0,,
ET-101-2023,RE-0154-IE-2023,06-12-2023,240,226,"Diésel para uso automotriz de 50 ppm de azufre",536.13091,0,0,123.73317,417.24906,0,0.12601,11.49416,0,0,0,0,-3.99093,1.66338,154.25,0.36768,26.77986,11.64,0,465.3292,0,619.5792,3.75,623.3292,56.68,0,12.77,0,689.0292,1.66,691,0,0,,453.83505,True,0,0,0,0,0,0,,
ET-101-2023,RE-0154-IE-2023,06-12-2023,240,226,"Gasolina RON 91 (pescadores)",536.13091,0,0,108.1104,364.56644,0,0,0,0,-17.3488,0,0,0,0,0,0,26.50986,0,0,373.7275,0,373.7275,0,,0,0,0,0,,0,,0,0,,373.7275,True,0,0,0,0,0,0,,
ET-101-2023,RE-0154-IE-2023,06-12-2023,240,226,"Gasolina RON 91",536.13091,0,0,108.1104,364.56644,0,0.12601,11.49416,0,0,0,0,5.84907,1.68285,260.75,0.36768,26.50986,11.17,0,421.76607,0,682.51607,3.75,686.26607,56.68,0,12.77,0,751.96607,1.66,754,0,0,,410.27191,True,0,0,0,0,0,0,,
ET-101-2023,RE-0154-IE-2023,06-12-2023,240,226,"Bunker Térmico ICE 2",536.13091,0,0,92.40029,311.58932,0,0.12601,0,0,0,-39.07315,0,6.14212,0.45579,25,0.36768,14.89986,3.19,0,297.69763,0,322.69763,0,,0,0,0,0,,0,,0,0,,336.77077,True,0,0,965.42,334.25621,0,0,,
ET-101-2023,RE-0154-IE-2023,06-12-2023,240,226,"Nafta pesada",536.13091,0,0,104.88721,353.69732,0,0,0,0,0,0,0,0,0,38,0.36768,17.69986,10.5,0,382.26486,0,420.26486,3.75,424.01486,0,0,0,0,,0,,0,0,,382.26486,True,0,0,0,0,0,0,,
ET-092-2023,RE-0133-IE-2023,08-11-2023,218,207,"Gasolina RON 95",537.5,0,0,121.35011,410.25797,0,0.15019,8.82673,0,0,0,0,3.45275,2.10509,272.75,0.36768,26.72986,10.97,0,462.86027,0,735.61027,3.75,739.36027,56.68,0,12.77,0,805.06027,1.66,807,0,0,0,454.03355,True,0,0,,,,,,
ET-092-2023,RE-0133-IE-2023,08-11-2023,218,207,"Gasolina RON 91",537.5,0,0,107.83502,364.56644,0,0.15019,8.82673,0,0,0,0,5.84907,1.68285,260.75,0.36768,26.50986,11.17,0,419.12282,0,679.87282,3.75,683.62282,56.68,0,12.77,0,749.32282,1.66,751,0,0,0,410.29609,True,0,0,,,,,,
ET-092-2023,RE-0133-IE-2023,08-11-2023,218,207,"Gasolina RON 91 (pescadores)",537.5,0,0,107.83502,364.56644,0,0,0,0,-17.3488,0,0,0,0,0,0,26.50986,0,0,373.7275,0,373.7275,0,0,0,0,0,0,0,0,0,0,0,0,373.7275,True,0,0,,,,,,
ET-092-2023,RE-0133-IE-2023,08-11-2023,218,207,"Diésel para uso automotriz de 50 ppm de azufre",537.5,0,0,131.05355,443.06315,0,0.15019,8.82673,0,0,0,0,-3.99093,1.66338,154.25,0.36768,26.77986,11.64,0,488.50005,0,642.75005,3.75,646.50005,56.68,0,12.77,0,712.20005,1.66,714,0,0,0,479.67333,True,0,0,,,,,,
ET-092-2023,RE-0133-IE-2023,08-11-2023,218,207,"Diésel uso automotriz 50 ppm azufre (pescadores)",537.5,0,0,131.05355,443.06315,0,0,0,0,-17.39986,0,0,0,0,0,0,26.77986,0,0,452.44316,0,452.44316,0,0,0,0,0,0,0,0,0,0,0,0,452.44316,True,0,0,,,,,,
ET-092-2023,RE-0133-IE-2023,08-11-2023,218,207,"Diésel marino",537.5,0,0,254.19784,859.38687,0,0,0,0,0,0,0,0,0,154.25,0.36768,26.77986,11.64,0,898.17441,0,1052.42441,0,0,0,0,0,0,0,0,0,0,0,0,898.17441,True,0,0,,,,,,
ET-092-2023,RE-0133-IE-2023,08-11-2023,218,207,Keroseno,537.5,0,0,132.28134,447.21405,0,0.15019,8.82673,0,0,0,0,0,1.26098,74.25,0.36768,25.10986,10.27,0,493.19949,0,567.44949,3.75,571.19949,56.68,0,12.77,0,636.89949,1.66,639,0,0,0,484.37276,True,0,0,,,,,,
ET-092-2023,RE-0133-IE-2023,08-11-2023,218,207,Bunker,537.5,0,0,90.50244,305.96882,0,0.15019,0,0,0,-48.00716,0,14.26596,-1.30502,25,0.36768,50.12986,13.45,0,335.02033,0,360.02033,3.75,363.77033,0,0,0,0,0,0,0,0,0,0,383.02749,True,0,0,,,,,,
ET-092-2023,RE-0133-IE-2023,08-11-2023,218,207,"Bunker Térmico ICE",537.5,0,0,104.02624,351.68978,0,0,0,0,0,25.81409,0,0,0,25,0.36768,14.89986,3.19,0,395.9614,0,420.9614,0,0,0,0,0,0,0,0,0,0,0,0,370.14732,True,0,0,,,,,,
ET-092-2023,RE-0133-IE-2023,08-11-2023,218,207,"Bunker Térmico ICE 2",537.5,0,0,100.29019,339.05902,0,0,0,0,0,-34.20789,0,6.14212,0.45579,25,0.36768,14.89986,3.19,0,329.90658,0,354.90658,0,0,0,0,0,0,0,0,0,0,0,0,364.11447,True,0,0,,,,,,
ET-092-2023,RE-0133-IE-2023,08-11-2023,218,207,"IFO 380",537.5,0,0,153.84087,520.10207,0,0,0,0,0,0,0,0,0,0,0.36768,42.08986,12.72,0,575.27961,0,575.27961,0,0,0,0,0,0,0,0,0,0,0,0,575.27961,True,504.03794,646.52128,,,,,,
ET-092-2023,RE-0133-IE-2023,08-11-2023,218,207,Asfalto,537.5,0,0,81.26903,274.75267,0,0.15019,0,0,0,0,0,14.8058,0.20102,53,0.36768,58.85986,16.2,0,365.33722,0,418.33722,3.75,422.08722,0,0,0,0,0,0,0,0,0,0,365.33722,True,0,0,,,,,,
ET-092-2023,RE-0133-IE-2023,08-11-2023,218,207,"Asfalto AC-10",537.5,0,0,82.2847,278.18645,0,0,0,0,0,0,0,0,0,53,0.36768,59.06707,16.2,0,353.8212,0,406.8212,3.75,410.5712,0,0,0,0,0,0,0,0,0,0,353.8212,True,0,0,,,,,,
ET-092-2023,RE-0133-IE-2023,08-11-2023,218,207,"Diésel pesado o gasóleo",537.5,0,0,108.03674,365.24841,0,0.15019,8.82673,0,0,0,0,0,1.34726,51.25,0.36768,22.87986,6.07,0,404.89012,0,456.14012,3.75,459.89012,0,0,0,0,0,0,0,0,0,0,396.0634,True,0,0,,,,,,
ET-092-2023,RE-0133-IE-2023,08-11-2023,218,207,"Emulsión asfáltica rápida (RR)",537.5,0,0,53.66511,181.4299,0,0.15019,0,0,0,0,0,0,0.12992,40.25,0.36768,27.00986,13.78,0,222.86756,0,263.11756,3.75,266.86756,0,0,0,0,0,0,0,0,0,0,222.86756,True,0,0,,,,,,
ET-092-2023,RE-0133-IE-2023,08-11-2023,218,207,"Emulsión asfáltica lenta (RL)",537.5,0,0,52.82487,178.58924,0,0.15019,0,0,0,0,0,0,-0.20055,40.25,0.36768,16.55986,13.78,0,209.24641,0,249.49641,3.75,253.24641,0,0,0,0,0,0,0,0,0,0,209.24641,True,0,0,,,,,,
ET-092-2023,RE-0133-IE-2023,08-11-2023,218,207,"LPG (70-30)",537.5,0,0,38.1472,128.96727,0,0.15019,0,0,0,-41.15064,0,-7.22621,0.3682,24,0.36768,21.95986,10.56,0,113.99635,0,137.99635,0,0,56.68,0,0,49.605,244.28135,0,244,62.229,71.558,321.38835,155.14699,True,0,0,,,,,,
ET-092-2023,RE-0133-IE-2023,08-11-2023,218,207,"LPG (rico en propano)",537.5,0,0,74.08829,250.47616,0,0,0,0,0,-33.62128,0,0,0,24,0.36768,22.08986,10.56,0,249.87242,0,273.87242,0,0,56.68,0,0,49.605,380.15742,0,380,62.229,71.558,457.26442,283.4937,True,0,0,,,,,,
ET-092-2023,RE-0133-IE-2023,08-11-2023,218,207,Av-Gas,537.5,0,0,193.9647,655.75188,0,0.15019,8.82673,0,0,0,0,-116.84664,-0.50495,260.75,0.36768,52.34986,30.22,0,630.31475,0,891.06475,0,0,0,17.27,0,0,908.33475,0,908,0,0,0,621.48802,True,792.90568,989.22381,,,,,,
ET-092-2023,RE-0133-IE-2023,08-11-2023,218,207,"Jet fuel A-1",537.5,0,0,132.28134,447.21405,0,0.15019,0,0,0,0,0,24.47389,-0.05884,156.25,0.36768,54.12986,14.07,0,540.34683,0,696.59683,0,0,0,17.27,0,0,713.86683,0,714,0,0,0,540.34683,True,578.87265,814.32102,,,,,,
ET-092-2023,RE-0133-IE-2023,08-11-2023,218,207,"Nafta pesada",537.5,0,0,114.59257,387.4122,0,0,0,0,0,0,0,0,0,38,0.36768,17.69986,10.5,0,415.97974,0,453.97974,3.75,457.72974,0,0,0,0,0,0,0,0,0,0,415.97974,True,0,0,,,,,,
ET-084-2023,RE-0110-IE-2023,04-10-2023,191,182,"Gasolina RON 95",540.01364,0,0,120.78525,410.25797,0,0.1425,11.72385,0,0,0,0,3.45275,2.10509,273.5,0.36768,26.72986,10.97,0,465.7497,0,739.2497,3.75,742.9997,56.68,0,12.77,0,808.6997,1.66,810,0,0,0,454.02586,True,0,0,,,,,,
ET-084-2023,RE-0110-IE-2023,04-10-2023,191,182,"Gasolina RON 91",540.01364,0,0,114.6867,389.54367,0,0.1425,11.72385,0,0,0,0,5.84907,1.68285,261.5,0.36768,26.50986,11.17,0,446.98948,0,708.48948,3.75,712.23948,56.68,0,12.77,0,777.93948,1.66,780,0,0,0,435.26563,True,0,0,,,,,,
ET-084-2023,RE-0110-IE-2023,04-10-2023,191,182,"Gasolina RON 91 (pescadores)",540.01364,0,0,114.6867,389.54367,0,0,0,0,-17.3488,0,0,0,0,0,0,26.50986,0,0,398.70473,0,398.70473,0,0,0,0,0,0,0,0,0,0,0,0,398.70473,True,0,0,,,,,,
ET-084-2023,RE-0110-IE-2023,04-10-2023,191,182,"Diésel para uso automotriz de 50 ppm de azufre",540.01364,0,0,126.77002,430.58577,0,0.1425,11.72385,0,0,0,0,-3.99093,1.66338,154.5,0.36768,26.77986,11.64,0,478.9121,0,633.4121,3.75,637.1621,56.68,0,12.77,0,702.8621,1.66,705,0,0,0,467.18825,True,0,0,,,,,,
ET-084-2023,RE-0110-IE-2023,04-10-2023,191,182,"Diésel uso automotriz 50 ppm azufre (pescadores)",540.01364,0,0,126.77002,430.58577,0,0,0,0,-17.39986,0,0,0,0,0,0,26.77986,0,0,439.96577,0,439.96577,0,0,0,0,0,0,0,0,0,0,0,0,439.96577,True,0,0,,,,,,
ET-084-2023,RE-0110-IE-2023,04-10-2023,191,182,"Diésel marino",540.01364,0,0,253.01461,859.38687,0,0,0,0,0,0,0,0,0,154.5,0.36768,26.77986,11.64,0,898.17441,0,1052.67441,0,0,0,0,0,0,0,0,0,0,0,0,898.17441,True,0,0,,,,,,
ET-084-2023,RE-0110-IE-2023,04-10-2023,191,182,Keroseno,540.01364,0,0,131.63014,447.09359,0,0.1425,11.72385,0,0,0,0,0,1.26098,74.5,0.36768,25.10986,10.27,0,495.96846,0,570.46846,3.75,574.21846,56.68,0,12.77,0,639.91846,1.66,642,0,0,0,484.24461,True,0,0,,,,,,
ET-084-2023,RE-0110-IE-2023,04-10-2023,191,182,Bunker,540.01364,0,0,86.89868,295.15919,0,0.1425,0,0,0,-63.79988,0,14.26596,-1.30502,25,0.36768,50.12986,13.45,0,308.4103,0,333.4103,3.75,337.1603,0,0,0,0,0,0,0,0,0,0,372.21017,True,0,0,,,,,,
ET-084-2023,RE-0110-IE-2023,04-10-2023,191,182,"Bunker Térmico ICE",540.01364,0,0,100.19577,340.32395,0,0,0,0,0,14.62805,0,0,0,25,0.36768,14.89986,3.19,0,373.40955,0,398.40955,0,0,0,0,0,0,0,0,0,0,0,0,358.78149,True,0,0,,,,,,
ET-084-2023,RE-0110-IE-2023,04-10-2023,191,182,"Bunker Térmico ICE 2",540.01364,0,0,95.2843,323.6417,0,0.1425,0,0,0,-29.97844,0,6.14212,0.45579,25,0.36768,14.89986,3.19,0,318.86121,0,343.86121,0,0,0,0,0,0,0,0,0,0,0,0,348.83964,True,0,0,,,,,,
ET-084-2023,RE-0110-IE-2023,04-10-2023,191,182,"IFO 380",540.01364,0,0,153.12478,520.10207,0,0,0,0,0,0,0,0,0,0,0.36768,42.08986,12.72,0,575.27961,0,575.27961,0,0,0,0,0,0,0,0,0,0,0,0,575.27961,True,503.9656,646.59362,,,,,,
ET-084-2023,RE-0110-IE-2023,04-10-2023,191,182,Asfalto,540.01364,0,0,80.89074,274.75267,0,0.1425,0,0,0,0,0,14.8058,0.20102,53.25,0.36768,58.85986,16.2,0,365.32953,0,418.57953,3.75,422.32953,0,0,0,0,0,0,0,0,0,0,365.32953,True,0,0,,,,,,
ET-084-2023,RE-0110-IE-2023,04-10-2023,191,182,"Asfalto AC-10",540.01364,0,0,81.55161,276.99739,0,0,0,0,0,0,0,0,0,53.25,0.36768,59.06707,16.2,0,352.63214,0,405.88214,3.75,409.63214,0,0,0,0,0,0,0,0,0,0,352.63214,True,0,0,,,,,,
ET-084-2023,RE-0110-IE-2023,04-10-2023,191,182,"Diésel pesado o gasóleo",540.01364,0,0,104.13905,353.71764,0,0.1425,11.72385,0,0,0,0,0,1.34726,51.25,0.36768,22.87986,6.07,0,396.24879,0,447.49879,3.75,451.24879,0,0,0,0,0,0,0,0,0,0,384.52494,True,0,0,,,,,,
